Yorumlar,Duygu
"Adam doğru demiş olumsuz bir durum yok istikrarlı bir şekilde yolcu seçmeye l,değişim saatlerine ve kısa mesafe almama hususundaki hassasiyete riayet edililiyor",3
Şu aralar hastaneye gidip geliyorum ve taksi tutmam gerekiyor. Duraktan çağırdığım takside sorun yok ama hastane önünden bindiğim taksicilerin hepsiyle de sorun yaşadım nasıl olumsuz bişey yokmuş ya. Gitsin herhangi bi hastane önünden binsin bakalım taksiye,1
"Olumsuz bir durumla karşılaşmadık derken?, halâ taksiciler müşterileri kazıklıyor, halâ yolu uzatıyor, elhamdülillah halâ Arap turistleri alıp Türkleri yolda bırakıyor. Durum değişirse haber veririz ama henüz olumsuz bişey yok.",1
Karşılaşmazsınız Ekrem başkan köklerini kuruttu.,1
Bende karşılaşmadım çünkü İstanbul’da değilim,2
Bu adamin ne vasfi var ki surekli her haberde karsimda. Essege altin semer vurmuslar essek yine essek. Bu da ayni,1
Aynen martı TAG kullanmaya devam bildiğiin UBER gibi olmuş çok güzel uygulama taksilerden bin kat daha iyi.,3
Eyüp Aksu ya göre olumsuz durum : Türk vatandaşlarının taksiye binmesi,2
Olsada yok dersin,1
"Olumsuz bir durumla karşılaşmaman çok olumsuz bir durum, gözleri gören birini yollasalardı keşke denetime",2
Körler sağırlar birbirini ağırlar..!,1
karşılaşana kadar zaten yolu uzatıyosunuz dayı sjsjebwbws,2
"E ne yapsın o da haklı. Başkanlık seçiminde oyları taksiye alınmayan vatandaşlar değil, taksi plakaları sahipleri ve taksiciler veriyor. Adamın vatandaşın memnuniyeti ile zerre ilgisi ve umuru yok!",2
Tek bir olumsuz durum var o da senin hala başkan olarak vazifeni yürütememen.,1
Sizce olumsuz bir durumla karşılaştık dermi tabiki demez,2
İnsan kendi ayağına sıkar mı ?,1
Hadi be oradan daha bi saat önce türk olduğum için yolcu olamayacağım muameleye maruz kaldım,2
Maşallah,3
Başkan olman dışında olumsuzluk yok adam haklı beyler,3
Bu adamın Şahin K’ya benzerligi beni korkutuyor,1
Fark etmez aynı işi yapıyorlar ama sektör farklı,2
